Season,Squad,PublishedPlayers,TotalWageBill,% Estimated,KnownPlayerWageRecords,KnownPlayerWages,MeanKnownAnnualWage,MedianKnownAnnualWage,HighestKnownAnnualWage,LowestKnownAnnualWage,WageStdDev,Top5KnownWages,PlayerRecordDifference,KnownWageCoveragePct,WageReconciliationDifference,ImpliedUnlistedAnnualWage,ImpliedUnlistedWeeklyWage,HighestToMedianWageRatio,Top5KnownWageShare,ObservedWageRange,LowCoverageFlag,HighCoverageFlag,LargeReconciliationFlag,WageDataFlag
15/16,Chelsea,40,99939000.0,100%,29,96314800.0,3321200.0,2600000.0,9286000.0,20800.0,3116222.4549238184,42555000.0,11,96.37358788861205,3624200.0,329472.7272727273,6336.013986013986,3.5715384615384616,0.4418324078957751,9265200.0,False,False,False,False
15/16,Arsenal,41,98190000.0,100%,32,96781400.0,3024418.75,2730000.0,7280000.0,20800.0,2230000.4202860156,33540000.0,9,98.56543436195132,1408600.0,156511.11111111112,3009.82905982906,2.6666666666666665,0.34655419326440823,7259200.0,False,False,False,False
15/16,Liverpool,44,94957000.0,100%,38,90396800.0,2378863.1578947366,2080000.0,7280000.0,20800.0,2107668.2102626874,30160000.0,6,95.19761576292427,4560200.0,760033.3333333334,14616.025641025642,3.5,0.33364012885411876,7259200.0,False,False,False,False
15/16,Everton,39,55323000.0,100%,33,53654000.0,1625878.7878787878,1820000.0,4160000.0,42000.0,1182915.2219616098,17160000.0,6,96.98317155613397,1669000.0,278166.6666666667,5349.358974358975,2.2857142857142856,0.3198270399224662,4118000.0,False,False,False,False
15/16,Tottenham,31,54248000.0,100%,27,53431800.0,1978955.5555555555,1820000.0,4420000.0,20800.0,1298121.663532865,20280000.0,4,98.49542840289043,816200.0,204050.0,3924.0384615384614,2.4285714285714284,0.3795492571839242,4399200.0,False,False,False,False
15/16,Crystal Palace,38,54189000.0,100%,33,52644800.0,1595296.9696969697,1560000.0,4446000.0,20800.0,1057420.782046121,17186000.0,5,97.1503441657901,1544200.0,308840.0,5939.2307692307695,2.85,0.326451995258791,4425200.0,False,False,False,False
15/16,West Ham,50,53333000.0,100%,37,49223200.0,1330356.7567567567,1300000.0,6834000.0,20800.0,1474098.6120602915,20354000.0,13,92.29407683798023,4109800.0,316138.46153846156,6079.585798816568,5.256923076923077,0.4135042012709454,6813200.0,False,False,False,False
15/16,Newcastle,42,49255000.0,100%,31,45630800.0,1471961.2903225806,1820000.0,3120000.0,20800.0,976272.3901580675,14040000.0,11,92.64196528271242,3624200.0,329472.7272727273,6336.013986013986,1.7142857142857142,0.30768691322527764,3099200.0,False,False,False,False
15/16,Sunderland,42,46349000.0,100%,28,44284800.0,1581600.0,1612000.0,4160000.0,20800.0,1018972.1575086227,15080000.0,14,95.54639798053896,2064200.0,147442.85714285713,2835.4395604395604,2.5806451612903225,0.34052315918780257,4139200.0,False,False,False,False
15/16,Southampton,35,42983000.0,100%,27,43362800.0,1606029.6296296297,1820000.0,2860000.0,20800.0,764258.0871038947,12324000.0,8,100.88360514622059,-379800.0,,,1.5714285714285714,0.2842067394171963,2839200.0,False,False,False,False
15/16,Stoke City,31,42158000.0,100%,27,42288000.0,1566222.2222222222,1820000.0,3380000.0,26000.0,859737.0498424475,13520000.0,4,100.3083637743726,-130000.0,,,1.8571428571428572,0.3197124479757851,3354000.0,False,False,False,False
15/16,West Brom,35,41521000.0,100%,29,39780000.0,1371724.1379310344,1456000.0,3120000.0,20800.0,924640.0263481586,13208000.0,6,95.80694106596663,1741000.0,290166.6666666667,5580.128205128205,2.142857142857143,0.33202614379084966,3099200.0,False,False,False,False
15/16,Swansea City,37,40612000.0,100%,29,39676000.0,1368137.9310344828,1560000.0,3640000.0,39000.0,899195.3039141613,13676000.0,8,97.69526248399488,936000.0,117000.0,2250.0,2.3333333333333335,0.34469200524246396,3601000.0,False,False,False,False
15/16,Aston Villa,44,37231000.0,100%,32,33540000.0,1048125.0,1274000.0,2860000.0,20800.0,813500.9705170967,10790000.0,12,90.08621847385243,3691000.0,307583.3333333333,5915.0641025641025,2.2448979591836733,0.32170542635658916,2839200.0,False,False,False,False
15/16,Leicester City,35,36878000.0,100%,25,35224800.0,1408992.0,1300000.0,3640000.0,20800.0,827601.1830988803,12610000.0,10,95.51711047236834,1653200.0,165320.0,3179.230769230769,2.8,0.35798641865958075,3619200.0,False,False,False,False
15/16,Norwich City,41,32656000.0,100%,26,32656000.0,1256000.0,1300000.0,2080000.0,52000.0,483223.5093618688,9802000.0,15,100.0,0.0,,,1.6,0.3001592356687898,2028000.0,False,False,False,False
15/16,Watford,39,29019000.0,100%,26,31099000.0,1196115.3846153845,1040000.0,2496000.0,96000.0,620675.3951574414,10920000.0,13,107.1677177021951,-2080000.0,,,2.4,0.35113669249815105,2400000.0,False,True,False,True
15/16,Bournemouth,50,26453000.0,100%,37,23672600.0,639800.0,624000.0,2882000.0,16000.0,623840.1237496672,9070000.0,13,89.48928287906853,2780400.0,213876.92307692306,4113.0177514792895,4.618589743589744,0.3831433809551971,2866000.0,False,False,False,False
16/17,Manchester Utd,45,157508000.0,100%,39,179847800.0,4611482.051282051,4160000.0,15080000.0,20800.0,4180986.6500417404,63700000.0,6,114.18327957944993,-22339800.0,,,3.625,0.3541883748369455,15059200.0,False,True,False,True
16/17,Manchester City,45,137961000.0,100%,29,128377600.0,4426813.793103448,4940000.0,9880000.0,5000.0,2828040.164864825,42120000.0,16,93.05354411754047,9583400.0,598962.5,11518.509615384615,2.0,0.3280946208684381,9875000.0,False,False,False,False
16/17,Arsenal,44,103365000.0,100%,33,105399000.0,3193909.090909091,2687000.0,7280000.0,52000.0,2137450.4725787863,33540000.0,11,101.96778406617327,-2034000.0,,,2.7093412727949384,0.3182193379443828,7228000.0,False,False,False,False
16/17,Chelsea,52,98614000.0,100%,26,103554000.0,3982846.153846154,3640000.0,11198000.0,260000.0,2885494.2826809785,43371000.0,26,105.00943070963555,-4940000.0,,,3.0763736263736265,0.41882496088997045,10938000.0,False,True,False,True
16/17,Liverpool,39,91686000.0,100%,33,86101600.0,2609139.393939394,2340000.0,7280000.0,20800.0,2075166.1141248716,30160000.0,6,93.90921187531357,5584400.0,930733.3333333334,17898.71794871795,3.111111111111111,0.35028385070660706,7259200.0,False,False,False,False
16/17,Crystal Palace,48,72219000.0,100%,38,72359000.0,1904184.2105263157,1820000.0,6240000.0,21000.0,1529193.0543858064,23166000.0,10,100.19385480275274,-140000.0,,,3.4285714285714284,0.3201536781879241,6219000.0,False,False,False,False
16/17,Tottenham,40,71214000.0,100%,30,75421400.0,2514046.6666666665,2470000.0,5200000.0,20800.0,1552183.9081254764,23140000.0,10,105.90810795630073,-4207400.0,,,2.1052631578947367,0.3068094731733964,5179200.0,False,True,False,True
16/17,Everton,43,67837000.0,100%,27,52029000.0,1927000.0,2080000.0,4160000.0,39000.0,1275788.775620792,18720000.0,16,76.69708271297374,15808000.0,988000.0,19000.0,2.0,0.3597993426742778,4121000.0,True,False,True,True
16/17,Leicester City,32,63701000.0,100%,27,61962800.0,2294918.5185185187,2080000.0,5200000.0,20800.0,1395886.0910759368,23400000.0,5,97.27131442206559,1738200.0,347640.0,6685.384615384615,2.5,0.37764594240415217,5179200.0,False,False,False,False
16/17,Southampton,39,58272000.0,100%,33,60560000.0,1835151.5151515151,1820000.0,4160000.0,52000.0,1151916.8839702618,17940000.0,6,103.92641405820977,-2288000.0,,,2.2857142857142856,0.2962351387054161,4108000.0,False,False,False,False
16/17,West Ham,45,56552000.0,100%,34,52883600.0,1555400.0,1560000.0,4160000.0,20800.0,1143444.5017073846,17420000.0,11,93.51322676474749,3668400.0,333490.9090909091,6413.286713286714,2.6666666666666665,0.32940268816797647,4139200.0,False,False,False,False
16/17,Stoke City,39,51762000.0,100%,33,63233600.0,1916169.696969697,1820000.0,5200000.0,20800.0,1169031.6121914883,20280000.0,6,122.16220393338743,-11471600.0,,,2.857142857142857,0.32071556893803294,5179200.0,False,True,True,True
16/17,Sunderland,43,47762000.0,100%,33,43352800.0,1313721.2121212122,1300000.0,4160000.0,20800.0,979167.5621917247,14664000.0,10,90.76839328336335,4409200.0,440920.0,8479.23076923077,3.2,0.3382480485689506,4139200.0,False,False,False,False
16/17,Hull City,45,42145000.0,100%,33,35489000.0,1075424.2424242424,936000.0,3828000.0,26000.0,898227.7700527521,13245000.0,12,84.20690473365761,6656000.0,554666.6666666666,10666.666666666666,4.089743589743589,0.37321423539688353,3802000.0,True,False,True,True
16/17,Watford,47,41998000.0,100%,34,49202200.0,1447123.5294117648,1300000.0,4836000.0,20800.0,1081733.1525699783,15756000.0,13,117.15367398447545,-7204200.0,,,3.72,0.32022958323001816,4815200.0,False,True,True,True
16/17,West Brom,35,40960000.0,100%,23,37247600.0,1619460.8695652173,1664000.0,3120000.0,20800.0,1031366.2296986682,14664000.0,12,90.9365234375,3712400.0,309366.6666666667,5949.358974358975,1.875,0.393689794778724,3099200.0,False,False,False,False
16/17,Swansea City,40,39728000.0,100%,29,41912000.0,1445241.3793103448,1560000.0,3900000.0,104000.0,926603.0763405352,13780000.0,11,105.49738219895288,-2184000.0,,,2.5,0.32878411910669975,3796000.0,False,True,False,True
16/17,Middlesbrough,37,38868000.0,100%,23,41284000.0,1794956.5217391304,1560000.0,5666000.0,130000.0,1354896.1542984783,18092000.0,14,106.21591026036843,-2416000.0,,,3.632051282051282,0.43823272938668734,5536000.0,False,True,False,True
16/17,Bournemouth,45,35665000.0,100%,35,32680000.0,933714.2857142857,1040000.0,1924000.0,23000.0,575331.3915336392,8268000.0,10,91.63045002102902,2985000.0,298500.0,5740.384615384615,1.85,0.2529987760097919,1901000.0,False,False,False,False
16/17,Burnley,39,24414000.0,100%,22,22880000.0,1040000.0,1040000.0,1820000.0,260000.0,389793.5961750111,7852000.0,17,93.71671991480298,1534000.0,90235.29411764706,1735.294117647059,1.75,0.3431818181818182,1560000.0,False,False,False,False
17/18,Manchester Utd,35,166171000.0,100%,31,134466800.0,4337638.70967742,4160000.0,10400000.0,20800.0,3036842.174548799,46800000.0,4,80.92073827563173,31704200.0,7926050.0,152424.03846153847,2.5,0.34804130090104024,10379200.0,True,False,True,True
17/18,Arsenal,45,158256000.0,100%,35,160856000.0,4595885.714285715,4680000.0,18200000.0,42000.0,4459311.868382363,65628000.0,10,101.64290769386311,-2600000.0,,,3.888888888888889,0.40799224150793256,18158000.0,False,False,False,False
17/18,Manchester City,32,151498000.0,100%,26,128856000.0,4956000.0,4810000.0,9880000.0,104000.0,3108635.3018647907,46020000.0,6,85.05458817938191,22642000.0,3773666.6666666665,72570.51282051281,2.054054054054054,0.35714285714285715,9776000.0,False,False,False,False
17/18,Chelsea,46,121662000.0,100%,29,112021600.0,3862813.793103448,3900000.0,11589000.0,20800.0,3173469.5393127403,45413000.0,17,92.07607963045157,9640400.0,567082.3529411765,10905.429864253394,2.9715384615384615,0.4053950309583152,11568200.0,False,False,False,False
17/18,Liverpool,34,95673000.0,100%,25,76292800.0,3051712.0,3120000.0,7280000.0,20800.0,2078247.7732294898,29640000.0,9,79.74329225591336,19380200.0,2153355.5555555555,41410.68376068376,2.3333333333333335,0.3885032401484806,7259200.0,True,False,True,True
17/18,Everton,48,85440000.0,100%,35,64833800.0,1852394.2857142857,1430000.0,6240000.0,20800.0,1691003.810818202,22620000.0,13,75.88225655430712,20606200.0,1585092.3076923077,30482.544378698225,4.363636363636363,0.3488920902368826,6219200.0,True,False,True,True
17/18,Tottenham,34,80298000.0,100%,28,76777800.0,2742064.285714286,3120000.0,5200000.0,20800.0,1620341.851497481,23616000.0,6,95.61608010162146,3520200.0,586700.0,11282.692307692309,1.6666666666666667,0.3075889124199964,5179200.0,False,False,False,False
17/18,West Ham,41,69533000.0,100%,34,67871800.0,1996229.4117647058,1690000.0,6026000.0,20800.0,1760433.4542911644,24519000.0,7,97.61091855665656,1661200.0,237314.2857142857,4563.736263736264,3.565680473372781,0.36125460058522096,6005200.0,False,False,False,False
17/18,Southampton,29,68073000.0,100%,24,66632800.0,2776366.6666666665,3120000.0,9360000.0,20800.0,1882929.491548987,25220000.0,5,97.88433005743833,1440200.0,288040.0,5539.2307692307695,3.0,0.37849227407523023,9339200.0,False,False,False,False
17/18,Crystal Palace,41,68041000.0,100%,32,67487600.0,2108987.5,1820000.0,6240000.0,20800.0,1540571.0134818985,24206000.0,9,99.18666686262695,553400.0,61488.88888888889,1182.4786324786326,3.4285714285714284,0.35867329702048967,6219200.0,False,False,False,False
17/18,Leicester City,34,64107000.0,100%,32,65875000.0,2058593.75,2080000.0,5200000.0,26000.0,1442210.5089818689,22880000.0,2,102.75788915407054,-1768000.0,,,2.5,0.34732447817836815,5174000.0,False,False,False,False
17/18,West Brom,33,59054000.0,100%,28,58175600.0,2077700.0,2340000.0,6760000.0,20800.0,1586859.5022874584,20645000.0,5,98.5125478375724,878400.0,175680.0,3378.4615384615386,2.888888888888889,0.35487386464428383,6739200.0,False,False,False,False
17/18,Stoke City,35,49052000.0,100%,26,50627800.0,1947223.076923077,1820000.0,4160000.0,20800.0,1106602.9666714957,17680000.0,9,103.21250917393787,-1575800.0,,,2.2857142857142856,0.3492152532798186,4139200.0,False,False,False,False
17/18,Swansea City,37,47773000.0,100%,27,40597000.0,1503592.5925925926,1664000.0,4680000.0,26000.0,1031218.9299472158,14820000.0,10,84.97896301258034,7176000.0,717600.0,13800.0,2.8125,0.3650516047983841,4654000.0,True,False,True,True
17/18,Watford,37,46476000.0,100%,31,48566800.0,1566670.9677419355,1300000.0,4442000.0,20800.0,1074171.7597583572,17155000.0,6,104.49866597813926,-2090800.0,,,3.416923076923077,0.3532248367197345,4421200.0,False,False,False,False
17/18,Bournemouth,37,43061000.0,100%,31,42853000.0,1382354.8387096773,1404000.0,3640000.0,26000.0,907671.4731805811,13520000.0,6,99.516964306449,208000.0,34666.666666666664,666.6666666666666,2.5925925925925926,0.3154971647259235,3614000.0,False,False,False,False
17/18,Newcastle,37,42219000.0,100%,23,34684000.0,1508000.0,1560000.0,2340000.0,624000.0,520472.5125918145,10816000.0,14,82.15258532888036,7535000.0,538214.2857142857,10350.274725274725,1.5,0.3118440779610195,1716000.0,True,False,True,True
17/18,Brighton,43,39909000.0,100%,33,40704800.0,1233478.7878787878,1300000.0,2340000.0,20800.0,665200.469669471,10660000.0,10,101.9940364328848,-795800.0,,,1.8,0.2618855761482675,2319200.0,False,False,False,False
17/18,Burnley,30,32557000.0,100%,25,31928000.0,1277120.0,1300000.0,2340000.0,52000.0,602098.8512417764,9620000.0,5,98.06800380870473,629000.0,125800.0,2419.230769230769,1.8,0.30130293159609123,2288000.0,False,False,False,False
17/18,Huddersfield,36,25607000.0,100%,25,25607000.0,1024280.0,916000.0,2600000.0,26000.0,590328.0528655233,9360000.0,11,100.0,0.0,,,2.8384279475982535,0.36552505174366384,2574000.0,False,False,False,False
18/19,Chelsea,103,157507000.0,100%,37,163487000.0,4418567.567567567,4160000.0,15777000.0,94000.0,3727173.0018320307,54992000.0,66,103.79665665652955,-5980000.0,,,3.792548076923077,0.33636925260112427,15683000.0,False,False,False,False
18/19,Manchester Utd,86,151325000.0,100%,31,151325000.0,4881451.612903226,4160000.0,18200000.0,5000.0,4239594.161699205,61360000.0,55,100.0,0.0,,,4.375,0.40548488352882867,18195000.0,False,False,False,False
18/19,Manchester City,96,150611000.0,100%,33,153211000.0,4642757.575757576,5200000.0,11967000.0,5000.0,3673543.2489483417,53054000.0,63,101.72630153176063,-2600000.0,,,2.3013461538461537,0.3462806195377616,11962000.0,False,False,False,False
18/19,Arsenal,91,135360000.0,100%,38,136920000.0,3603157.8947368423,2600000.0,18200000.0,5000.0,3761035.434818851,53928000.0,53,101.15248226950355,-1560000.0,,,7.0,0.39386503067484663,18195000.0,False,False,False,False
