Season,Club,club_id,SummerSpend,SummerIncome,NetSpend,RecoveredIncomingFees,RecoveredOutgoingFees,InternalIncomingMoves,InternalOutgoingMoves,UnknownIncomingFees,UnknownOutgoingFees,NoFeeIncomingMoves,NoFeeOutgoingMoves,NotFoundIncomingFees,NotFoundOutgoingFees
16/17,Arsenal,11,72000000.0,5000000.0,67000000.0,0,0,0,0,0,0,0,0,0,0
16/17,Man United,985,185000000.0,5250000.0,179750000.0,0,0,0,0,0,0,0,0,0,0
16/17,Everton,29,39200000.0,55600000.0,-16400000.0,0,0,0,0,0,0,0,0,0,0
16/17,Southampton,180,51900000.0,46200000.0,5700000.0,0,0,0,0,0,0,0,0,0,0
16/17,Bournemouth,989,13500000.0,12000000.0,1500000.0,0,0,0,0,0,0,0,0,0,0
16/17,West Brom,984,19900000.0,1200000.0,18700000.0,0,0,0,0,0,0,0,0,0,0
16/17,West Ham,379,49600000.0,11700000.0,37900000.0,0,0,0,0,0,0,0,0,0,0
16/17,Leicester,1003,74500000.0,49100000.0,25400000.0,0,0,1,0,0,0,0,0,0,0
16/17,Stoke,512,19120000.0,0.0,19120000.0,0,0,0,0,0,0,0,0,0,0
16/17,Crystal Palace,873,27300000.0,45600000.0,-18300000.0,0,0,0,0,0,0,0,0,0,0
16/17,Swansea,2288,8100000.0,24100000.0,-16000000.0,0,0,0,0,0,0,0,0,0,0
16/17,Burnley,1132,16100000.0,0.0,16100000.0,0,0,1,0,0,0,0,0,0,0
16/17,Watford,1010,44450000.0,14100000.0,30350000.0,0,0,0,0,0,0,0,0,0,0
16/17,Hull,3008,4100000.0,0.0,4100000.0,0,0,1,0,0,0,0,0,0,0
16/17,Middlesbrough,641,18750000.0,0.0,18750000.0,0,0,0,0,0,0,0,0,0,0
16/17,Sunderland,289,16250000.0,0.0,16250000.0,0,0,1,0,0,0,0,1,0,0
17/18,Man City,281,244700000.0,50950000.0,193750000.0,0,0,1,0,0,0,0,0,0,0
17/18,Man United,985,164400000.0,8500000.0,155900000.0,0,0,1,0,0,1,0,0,0,0
17/18,Tottenham,148,77500000.0,81900000.0,-4400000.0,0,0,1,0,0,0,1,0,0,0
17/18,Liverpool,31,89000000.0,28200000.0,60800000.0,0,0,0,0,0,0,0,0,0,0
17/18,Chelsea,631,168800000.0,109000000.0,59800000.0,0,0,2,0,0,0,0,0,0,0
